SS,Pos10wrtsRNAStart,DistTerm,Distance,sameStrand,DownDistance,sameDownStrand
0,-104,1000,0,0,0,0
0,-18,248,0,0,0,0
0,-61,722,0,0,0,0
0,-67,308,0,0,0,0
-0.7,-101,178,0,0,0,0
0,-74,0,-202,0,62,0
0,-80,0,-146,0,1074,0
-101,230,0,-157,0,0,1
-10.5,-1000,1000,-408,1,284,1
-10.6,-36,0,0,0,12,1
-10.8,-5,0,-139,1,62,1
-11.2,-25,0,-36,0,19,1
-11.2,-5,0,-343,1,0,1
-119,201,789,0,1,143,1
-12.3,-14,16,-92,1,161,1
-12.5,-18,124,-60,1,167,1
-12.5,-65,0,-28,0,104,0
-129.9,-15,0,-272,1,5,0
-13.3,-12,1000,-36,1,24,0
-13.4,-25,1000,-136,0,6,0
-13.8,-1000,1000,-193,1,70,1
-13.8,-14,204,-803,0,37,1
-13.8,-19,0,-116,1,99,0
-14,-15,1000,-348,1,136,0
-14.2,-10,0,-73,1,64,1
-14.2,41,1000,-82,1,124,1
-14.6,36,0,0,0,183,1
-14.8,-19,0,-36,0,190,0
-15.3,-15,1000,-95,0,53,0
-15.8,3,274,-29,0,296,1
-15.8,-61,0,-92,1,254,1
-16.2,-87,0,-33,0,260,0
-16.3,-55,1000,-103,0,34,1
-16.8,-1000,11,-48,0,0,1
-16.9,-7,0,-24,1,53,1
-17.4,-11,0,-7,1,85,1
-17.6,40,1000,-256,0,301,1
-18.2,-63,0,0,1,21,0
-18.4,-83,1000,-502,0,304,1
-18.62,93,1000,0,0,19,0
-19.3,-13,1000,-36,0,19,0
-19.7,-94,0,-302,0,0,1
-19.8,-13,0,-569,1,160,1
-20.1,-59,0,-167,1,184,1
-20.2,-13,0,-121,1,86,0
-20.3,-40,0,-170,1,424,0
-21.1,-76,0,-86,1,281,1
-21.3,-20,1000,-117,0,80,1
-21.6,-15,0,-6,1,168,1
-22.6,15,1000,-68,0,10,0
-22.7,-100,0,-270,1,97,1
-23.2,-18,0,-39,0,0,0
-23.3,-3,0,-5,1,16,1
-23.3,-5,0,-68,0,1008,1
-24.1,57,0,-50,1,61,1
-24,-35,1000,-19,0,6,0
-24.4,-15,1000,-11,0,19,0
-24.47,-1000,1000,0,1,15,1
-25,-15,0,-38,1,132,1
-25.2,-56,0,-15,0,664,0
-25.3,-35,1000,-120,1,162,1
-25.8,-1000,1000,-263,0,59,1
-26.1,-1000,1000,-70,0,251,0
-26,-14,1000,-252,1,123,0
-26.2,-14,122,-324,0,241,1
-26.3,-9,0,-6,0,55,0
-26.4,-14,0,-237,1,162,1
-26.4,18,0,-85,1,13,0
-26.7,-5,0,-408,1,731,1
-26.8,-16,1000,-211,0,111,1
-26,-83,269,-313,0,171,1
-27,-1000,1000,0,0,0,0
-27.1,-14,1000,-9,0,216,0
-2.72,56,284,-29,0,132,0
-27.6,29,0,0,1,124,1
-27.8,-14,1000,-53,0,38,1
-27.8,-21,1000,-32,1,3,1
-28.2,-21,0,-42,0,121,0
-28.5,-15,845,-80,0,7,0
-28.9,18,1000,-46,0,553,1
-29.2,-8,0,0,1,9,0
-29.5,3,0,0,1,1512,1
-29.9,-55,0,-7,1,117,1
-30,-19,0,-81,1,34,1
-30.4,-1000,42,-114,1,121,1
-30.9,-56,0,-29,0,346,0
-31.6,26,0,-5,1,181,0
-32,-44,276,-327,1,0,1
-32.7,-1000,1000,0,0,0,0
-33.2,-1000,1000,-119,1,315,1
-33.4,-1000,1000,0,0,0,0
-33.5,-66,0,-172,1,24,0
-34.1,-1000,739,-77,1,0,1
-34.2,-17,577,-55,1,22,1
-34.5,-93,0,-131,0,142,1
3.5,-15,1000,0,0,0,0
-35.2,-1000,1000,-514,0,184,1
-36.1,55,70,-111,0,0,0
-36.2,-10,227,-4,1,429,1
-36.2,19,1000,-64,1,475,1
-36.5,-57,13,-72,0,96,0
-36.6,-1000,1000,0,0,0,0
-36.6,-14,0,-26,1,92,1
-36.8,-85,0,-8,0,32,0
-37.2,-103,845,-51,0,0,0
-37.4,-1000,1000,-506,1,159,1
-38.3,-19,33,-46,1,105,0
-39.4,-14,0,0,1,1,0
-39.5,-14,738,-33,0,1,0
-39.92,-86,0,0,1,207,1
-42.1,-14,1000,0,0,42,0
-42.6,-18,1000,-139,1,453,0
-43.3,-1000,888,0,1,0,1
-43.6,-25,216,-60,0,0,1
-44.6,-14,778,-160,0,36,0
-44.9,-80,1000,-128,0,20,0
-45.2,-19,1000,-119,1,17,1
-45.3,-5,930,-56,1,139,1
-45.5,-1000,1000,0,1,0,1
-46.3,-51,33,-208,1,101,0
-46.7,81,1000,0,1,19,1
-46.8,-24,1000,-118,0,0,0
4.81,-9,88,-144,0,40,1
-49,-15,0,0,0,60,1
-50.5,-23,93,-92,1,203,1
-50.7,58,1000,0,0,0,0
-51.9,-14,0,-85,1,26,1
-53.9,-1000,1000,0,1,16,1
-54.3,-73,1000,0,0,2,1
-55.6,-18,0,-12,1,0,1
-56.6,-4,1000,-18,1,0,1
-57.2,-18,344,-222,0,59,1
-58,-13,0,-230,1,1312,0
-58.2,-43,1000,-87,0,30,0
-60.9,-1000,1000,0,1,1,1
-61.9,37,0,-64,1,241,1
-63,-13,1000,-25,0,0,0
-63,-26,0,-48,1,408,1
-63.8,-14,0,-175,0,489,1
-64.6,-15,0,-51,1,187,0
-64,81,0,0,1,82,0
-6.7,25,1000,-260,1,366,0
-68.9,-95,0,-43,1,510,1
-71.5,-99,1000,-3,0,214,0
-71.6,-35,0,0,1,0,1
-72.4,-102,15,-179,0,0,1
-72.5,-14,0,0,1,0,1
-73.2,86,0,-229,1,246,1
-7.5,-10,0,-12,0,11,0
-75.1,146,0,-14,0,0,1
-7.6,-8,0,-379,0,25,0
-78.5,-1000,0,-24,1,0,1
-79.8,75,0,-7,0,31,0
-82,-66,0,-168,0,35,0
-83.64,-46,34,-97,0,297,1
-85.7,72,1000,-3,0,43,0
-90.3,-14,1000,-93,1,33,1
-9.3,-1000,1000,-352,1,41,0
-96.7,-77,595,-63,1,285,1
-97.6,64,0,-53,1,12,0
-9.9,-14,1000,-148,1,163,1
-9.9,-20,0,-253,1,73,1
-9.9,-21,31,-1040,1,578,1
0,-1000,1000,0,0,0,0
0,-105,31,-118,0,263,0
0,1,1000,0,0,0,0
0,-17,961,0,1,0,1
-0.2,-104,191,0,0,0,0
0,-22,486,0,0,0,0
0,2,561,0,0,63,1
0,-27,363,0,0,276,0
0,2,75,-1036,1,119,0
0,-29,940,0,0,0,0
0,-30,197,-460,0,223,0
0.3,-12,747,0,0,0,0
0,-32,1000,0,0,0,0
0,-37,137,0,1,0,1
0.4,20,730,-306,1,109,0
0,-4,231,0,0,0,0
0,-45,1000,0,1,0,1
0,-48,87,0,1,0,1
0,-50,23,0,1,0,1
0,5,843,-1174,1,2757,1
0,-60,1000,0,0,5,0
-0.6,21,1000,0,0,0,0
0,-6,22,0,0,0,0
0,-62,836,-36,1,528,1
0.7,-1000,1000,0,0,0,0
0,-7,102,-357,0,25,0
0,-75,311,0,1,0,1
0,-77,371,0,0,0,0
0,-8,1000,0,1,0,1
0,-81,1000,0,0,0,0
0,-88,1000,0,1,0,1
-0.9,-100,85,0,0,199,0
0.9,-12,891,0,0,0,0
0,-93,802,-125,1,219,1
0,-95,726,0,0,0,0
-10.1,-1000,1000,0,1,0,1
-10.1,-104,1000,0,0,0,0
-102.9,-103,1000,0,0,0,0
-10.2,-95,406,0,0,0,0
-10.4,6,1000,-1708,1,30,0
-10.6,-1000,1000,0,1,0,1
-10.6,-29,1000,0,0,0,0
-10.6,-67,459,0,0,0,0
-10.7,44,1000,0,1,0,1
-108.4,-14,1000,0,0,0,1
-108,-87,45,-86,0,0,1
-10.9,-1000,1000,0,0,0,0
-10.9,-1000,1000,0,0,0,0
-11.1,1,833,0,1,47,0
-11.1,-69,730,0,1,0,1
-11.2,-34,1000,0,1,0,1
-11.3,-2,1000,0,0,0,0
-11.4,65,69,0,1,0,1
-11,-5,565,0,1,0,1
-116.24,168,1000,0,0,0,0
-11.7,-8,1000,0,0,0,0
-11.8,-14,990,0,0,0,0
-1.2,-1000,657,0,1,0,1
-12.1,-40,1000,0,0,0,0
-12.1,70,373,0,0,0,0
-12.32,-1000,1000,0,0,0,0
-12.5,-1000,1000,0,0,0,0
-12.5,-1000,109,0,1,0,1
-12.5,-82,1000,0,1,0,1
-12.6,30,1000,0,0,0,0
-12.6,67,411,0,0,0,0
-12.68,-11,1000,0,1,112,0
-12.8,-61,1000,0,0,0,0
-13,-1000,1000,0,1,0,1
-13.1,-71,1000,0,0,0,0
-13,-26,1000,0,1,0,1
-13.2,-92,1000,0,0,297,0
1.3,-3,398,0,1,0,1
-13,51,730,0,1,0,1
-13.6,-13,1000,0,1,0,1
-13.6,6,1000,0,1,0,1
-13.7,-1000,1000,0,0,0,0
-13.8,-1000,1000,0,0,0,0
-13.8,-55,1000,0,0,0,0
-13.8,-78,1000,0,0,0,0
-13,-9,1000,0,0,0,0
-14,-17,0,0,0,77,0
-14,25,300,0,1,60,1
-14.3,-104,1000,0,0,0,0
-14.3,24,76,-147,1,225,0
-14.4,49,604,0,0,0,0
-14.6,-36,1000,0,0,0,0
-14.7,-1000,888,0,1,0,1
-14.7,9,466,0,0,178,1
-14.8,20,1000,0,0,0,0
-14.9,15,1000,0,0,0,0
-15.04,-11,1000,0,0,0,0
-15.1,-23,1000,0,1,0,1
-15.2,-69,299,0,1,0,1
-15.4,1,1000,-72,0,464,1
-15.5,-11,1000,0,0,0,0
-15.5,-24,651,0,1,0,1
-15.6,17,1000,0,1,0,1
-15,67,1000,-279,1,0,1
-15.7,59,1000,0,0,0,0
-15.7,-97,1000,-315,0,0,0
-15.9,14,293,0,0,0,0
-15.9,18,1000,-64,0,0,1
-15.9,-28,1000,0,0,0,0
-1.6,10,1000,0,0,0,0
-16.2,-62,326,0,1,0,1
-16,-26,670,0,1,0,1
-16.4,94,1000,0,1,0,1
-16.6,29,1000,0,1,0,1
-16.6,-45,1000,0,0,0,0
-16.6,-55,817,0,0,0,0
-16.6,82,1000,0,0,0,0
-16.7,-8,1000,0,1,0,1
-16.8,-1000,1000,0,0,0,0
-16.9,10,842,0,1,0,1
-16.9,-28,1000,0,0,0,0
-16.9,-50,798,0,1,0,1
-17.1,-20,1000,0,0,0,0
-1.7,29,322,0,0,0,0
-17,-38,842,0,0,0,0
-17.4,42,1000,0,0,0,0
-17.4,46,1000,0,0,0,0
-17.4,-73,1000,0,0,0,0
-17.6,111,1000,0,0,0,0
-17.6,14,212,-508,1,159,1
-17.6,-52,1000,0,0,0,0
-17.8,-1000,1000,0,0,0,0
-18.1,-1000,1000,0,1,0,1
-1.8,-33,844,0,1,0,1
-18.3,-99,460,-137,0,131,1
-18.4,-1000,1000,0,0,0,0
-18.4,-1000,1000,0,0,0,0
-18.4,-49,977,0,1,0,1
-18.4,61,1000,-1611,1,660,0
-18.6,-26,1000,0,1,0,1
-18.7,-75,511,0,1,0,1
-18.7,-99,0,-10,1,0,1
-18.8,-4,134,0,1,0,1
-18.87,-1000,1000,0,1,0,1
-18.9,-1000,1000,-55,1,0,1
-18.9,-16,1000,0,1,0,1
-18.9,36,1000,0,0,0,0
-19.04,-15,1000,0,1,0,1
-19,-1000,1000,0,1,0,1
-19.1,-1000,1000,0,0,0,0
-19,-14,1000,0,0,0,0
-19.1,-82,477,0,1,0,1
-19.5,-1000,174,0,0,0,0
-19.5,-24,1000,0,0,0,0
-19.5,-70,0,0,0,0,0
-19.6,-9,1000,-87,0,136,0
-19.7,-106,318,0,1,0,1
-19.7,94,1000,0,0,0,0
-19.8,19,1000,0,0,0,0
-19.8,-53,797,0,0,0,0
-19.95,-24,166,0,1,0,1
-20.2,-1000,675,0,1,0,1
-20.3,24,11,0,1,0,1
-20.3,-47,1000,0,1,0,1
-20,-40,0,0,1,0,1
-20.44,139,373,0,0,0,0
-20,-46,641,0,0,0,0
-20,-49,1000,0,1,0,1
-20.5,-1000,1000,0,1,0,1
-20.5,-27,1000,0,1,0,1
-20.6,-1000,1000,0,0,0,0
-20.6,23,1000,0,0,0,0
-20.6,45,1000,0,0,0,0
-20.8,-1000,1000,0,1,0,1
-20.9,49,1000,0,1,146,1
-21.3,-1000,1000,0,1,0,1
-21.3,-1000,352,0,1,0,1
-21.34,-25,1000,0,0,27,0
-21.4,-65,1000,0,1,0,1
-21.8,-57,1000,-915,1,235,0
-21.9,-1000,792,0,0,0,0
-21.9,-3,1000,0,1,0,1
-21.9,-92,472,0,1,0,1
-22.01,-92,115,0,1,0,1
-22.1,-58,1000,0,1,0,1
-22.2,-1000,543,0,1,0,1
-22.4,-1000,8,-61,1,0,1
-22.5,-78,1000,0,1,83,1
-22.8,-1000,1000,0,1,0,1
-22.8,-1000,1000,0,1,0,1
-22.8,-1000,1000,0,1,0,1
-22.8,17,294,0,0,0,0
-22.8,20,1000,0,1,0,1
-22.9,-1000,1000,0,0,0,0
-22.9,-1000,1000,0,1,0,1
-22.9,6,1000,0,0,132,0
-23,-1000,735,0,0,0,0
-23.1,11,1000,0,1,0,1
-23.1,-31,1000,0,0,0,0
-2.3,15,860,0,1,0,1
-23.3,-1000,1000,0,0,0,0
-23.59,-1000,1000,0,0,0,0
-23.5,-95,340,0,1,0,1
-23.6,-35,0,-169,0,0,0
-23.6,73,147,0,0,0,0
-23.7,-15,1000,0,1,0,1
-2.37,35,1000,0,0,0,0
-23.9,-50,998,0,1,0,1
-24,-1000,1000,0,0,0,0
-24.1,-1000,1000,0,1,0,1
-24.1,-1000,1000,0,1,0,1
-24.1,10,1000,0,1,0,1
-24.1,41,1000,0,0,0,0
-24.2,-1000,1000,0,0,0,0
-24.2,-1000,1000,0,0,0,0
-24,26,1000,0,1,0,1
2.4,26,1000,0,1,0,1
-2.4,-2,968,-393,1,10,1
-24.3,-75,276,0,1,0,1
-24.3,-82,1000,0,1,0,1
-24.4,-3,1000,0,0,0,0
-2.4,-44,865,0,1,0,1
-24.6,-1000,1000,0,1,0,1
-24.8,-79,300,0,1,0,1
-24.88,120,1000,0,0,0,0
-25,-102,948,0,1,449,1
-25.1,1,1000,0,0,0,0
-25.3,-78,491,-264,0,523,0
-25.3,-80,1000,0,1,0,1
-25.47,96,533,0,0,0,0
-25.6,-85,0,-24,0,0,1
-25.9,-51,1000,0,0,0,0
-2.5,-98,944,0,1,0,1
-26.1,-80,1000,0,0,0,0
-26.2,-1000,1000,0,1,0,1
-26.3,-1000,1000,0,1,0,1
-26.3,26,1000,0,1,0,1
-26.7,12,227,0,1,0,1
-26.9,35,1000,0,0,0,0
-27,-1000,1000,0,0,0,0
-27.4,-61,1000,0,1,0,1
-27.4,-61,1000,0,1,0,1
-27.5,-100,1000,0,1,0,1
-27.5,-50,1000,0,0,0,0
-27.7,-1000,1000,0,1,0,1
-28.1,-1000,1000,0,1,0,1
-28.2,-1000,1000,0,0,0,0
-28.2,4,1000,0,1,0,1
-28.6,-1000,928,0,1,0,1
-28.8,-89,1000,0,0,0,0
-28.9,69,467,0,1,0,1
-29.1,-41,1000,-87,0,0,0
-29.3,-1000,1000,0,0,0,0
-29.8,-1000,1000,0,0,0,0
-30.1,-1000,1000,0,1,0,1
-30.2,213,344,0,0,83,1
-30.2,-25,1000,0,0,0,0
-30.4,-29,1000,0,1,0,1
-30.6,-65,1000,0,0,0,0
-30.7,-1000,1000,0,0,0,0
-31,-1000,1000,0,1,0,1
-3.1,-104,415,0,1,0,1
-31.3,-1000,1000,0,0,0,0
-31.39,166,0,0,1,0,1
-31.5,-13,1000,0,0,0,0
-3.1,-62,0,0,1,0,1
-31.9,-1000,806,0,1,0,1
-32.1,22,1000,0,1,0,1
-32.2,57,0,0,1,0,1
-32.3,80,133,0,1,0,1
-32.4,-1000,1000,0,0,0,0
-32.4,-32,1000,0,1,0,1
-32.7,35,1000,0,1,0,1
-3,28,1000,0,1,0,1
-32,-95,1000,0,1,0,1
-3.3,-106,1000,-5513,0,8484,0
-33.87,-1000,1000,0,0,0,0
-33.9,-1000,1000,0,1,0,1
-33.9,62,1000,0,1,0,1
-34,-1000,1000,0,1,0,1
-34,-2,1000,0,1,0,1
-34.2,-56,311,0,1,0,1
-3.4,-5,1000,0,1,793,1
3.4,-57,1000,-31,1,98,0
-3.4,-68,90,0,1,0,1
-34.7,-1000,1000,-1372,0,360,1
-34.8,-1000,1000,0,1,0,1
-34.9,21,1000,0,0,0,0
-35,-1000,1000,0,0,0,0
-35,-1000,327,0,1,0,1
-35.27,-33,1000,0,1,0,1
-35.34,143,1000,0,1,0,1
-3.5,-59,780,0,1,0,1
-35.6,-24,1000,-47,0,70,1
-36,-1000,1000,0,0,0,0
-36.1,-1000,1000,0,0,0,0
-36.1,-1000,1000,0,0,0,0
-36.1,111,1000,0,1,0,1
-36.2,-1000,1000,0,0,63,1
-36.5,-83,1000,-5661,0,1840,0
-36.6,-100,1000,0,1,0,1
-36.8,-1000,1000,0,1,0,1
-3.7,13,79,0,1,0,1
-37,172,1000,-26,1,0,0
-37.3,109,1000,0,0,0,0
-37.4,-1000,1000,0,1,0,1
-37.4,-63,631,0,1,0,1
-37,91,1000,0,1,0,1
-38.1,22,79,0,0,0,0
-38.2,82,1000,0,0,0,0
-38.4,-77,1000,0,1,0,1
-38.8,-1000,1000,0,0,0,0
-39.1,-1000,1000,0,1,0,1
-3.9,11,1000,0,1,0,1
-39.3,-52,1000,0,0,0,0
-39.4,63,1000,0,0,0,0
-3.9,5,1000,0,0,0,0
-39.5,106,0,0,1,157,1
-39.6,-102,1000,0,1,236,0
-39.7,-93,1000,0,0,0,0
-40,-1000,1000,0,0,0,0
-40.7,29,1000,0,1,0,1
-40.8,93,1000,0,0,0,0
-4,-1000,1000,0,0,479,0
-41.1,-1000,204,-305,0,0,0
-41.2,42,70,0,1,224,1
4.1,-33,0,-85,0,0,0
-41.7,328,1000,-67,1,307,0
-41.8,73,1000,0,0,0,0
-4.1,-98,1000,0,1,10,1
-4.19,-94,66,0,0,0,0
-42.1,-49,1000,0,0,0,0
-42.52,-53,945,0,0,0,1
-42.6,-1000,1000,0,1,0,1
-4.2,-70,467,0,0,0,0
-42.8,-98,1000,0,1,0,1
-43.11,134,1000,0,0,0,0
-43.3,-1000,1000,0,1,0,1
-43.52,-23,1000,-914,0,840,0
-43.5,-86,1000,0,1,0,1
-4.3,-67,177,0,0,0,0
-43.9,111,1000,0,1,0,1
-44.1,35,1000,0,0,0,0
-44.3,27,1000,0,1,0,0
-44.5,89,1000,0,0,20,0
-44.6,-1000,1000,0,0,0,0
-4.5,-27,685,-74,1,0,1
-45.3,86,1000,0,0,89,0
-45.5,107,0,0,1,24,1
-45.8,-1000,1000,0,1,0,1
-46.1,125,1000,0,0,0,0
-46.1,21,1000,0,1,0,1
-4.6,24,834,0,1,0,1
-46.5,-1000,1000,0,1,178,1
-46,-59,1000,0,1,0,1
-47.2,34,1000,0,0,0,0
-47.3,-1000,1000,0,0,0,0
-47.9,146,1000,-76,0,0,1
-4.79,-64,1000,0,0,0,0
-48.3,244,1000,0,0,0,0
-48.4,-35,0,0,0,0,1
-4.85,-66,311,0,1,0,1
-48.7,-1000,1000,0,0,366,1
-4.8,-75,239,0,1,0,1
-4,-90,290,0,1,0,1
-4.91,-1000,1000,0,0,0,0
-49.2,-1000,1000,0,0,0,0
-4.9,-35,802,0,1,0,1
-4.9,-51,110,0,0,0,0
-49.6,-1000,1000,0,0,0,0
-4,-97,399,0,1,0,1
-50.2,15,1000,0,1,66,0
-50.4,-19,787,0,1,0,1
-50.6,237,29,0,1,0,1
-5.1,0,1000,0,0,0,0
-51.1,126,578,0,1,0,1
-51.63,208,1000,0,0,0,0
-52.34,-1000,1000,0,0,0,0
-52.4,167,1000,0,0,0,0
-5.2,6,1000,-380,1,15,1
-52.7,23,1000,0,0,0,0
-52.8,53,1000,-72,0,0,0
-53,136,1000,0,0,0,0
-53.2,-44,1000,0,1,0,1
-53.7,123,1000,-3,0,12,1
-5.3,-73,1000,0,0,0,0
-5.4,-101,1000,0,0,0,0
-54,11,1000,0,0,0,0
-54.2,122,272,0,1,0,1
-54.31,144,957,0,0,0,0
-55.1,-1000,1000,0,1,0,1
-55.1,2,1000,0,1,0,1
-55.8,-1000,129,0,1,0,1
-55.8,204,523,0,1,0,1
-5.6,-1000,1000,0,0,0,0
-5.6,61,1000,0,0,0,0
-56.7,-90,1000,0,0,0,0
-56,-8,1000,0,1,92,1
-56.9,72,1000,0,0,0,0
-57.3,-1000,1000,0,1,0,1
-57.3,26,1000,0,0,0,0
-57.8,-57,867,0,0,0,0
-5.8,-1000,805,-72,0,0,0
-5.8,-100,1000,0,0,0,0
-58.5,-1000,1000,-27,0,443,1
-58,55,1000,0,0,0,0
-5.8,7,1000,0,1,52,1
-5.9,11,1000,0,1,0,1
-59.17,103,0,0,1,15,0
-59.9,53,1000,0,1,0,1
-60,-1000,1000,0,0,0,0
-6.1,-22,1000,0,0,0,0
-61.6,-1000,1000,0,0,0,0
-61.6,100,220,0,1,0,1
-6.2,29,1000,0,0,0,0
-62.2,-95,0,-2393,0,3819,1
-62.9,-1000,1000,0,0,0,0
-6,4,1000,0,1,0,1
-6.4,-1000,1000,0,0,0,0
-64.4,-1000,1000,0,1,0,1
-64,-42,1000,0,1,0,1
-65.3,-1000,1000,0,0,0,0
-65.6,-6,1000,-133,1,315,0
-6.64,54,485,0,1,0,1
-6.64,-94,190,0,1,0,1
-66.5,-1000,1000,0,1,0,1
-68.49,190,1000,0,0,0,0
-68.8,-1000,1000,0,0,0,0
-6.8,-8,1000,-115,1,42,1
-6.9,-102,28,0,0,67,0
-70,-23,0,0,1,0,0
-7.1,-15,1000,0,0,0,0
-71.6,283,1000,0,0,0,1
-7.1,-96,1000,0,1,0,1
-72.2,-61,1000,-52,1,0,1
-72.37,285,1000,-410,1,0,1
-7.3,-1000,1000,0,0,0,0
-7.3,4,907,-387,1,0,1
-7.4,15,1000,0,0,0,0
-7.4,-15,1000,0,1,0,1
-7.4,17,0,0,0,0,0
-74.6,-1000,1000,0,0,0,0
-74.9,-1000,1000,0,0,0,0
-7.5,-1000,1000,0,0,0,0
-7.5,-18,497,0,1,0,1
-75.2,60,1000,0,1,0,1
-7.6,-15,1000,0,1,0,1
-7.6,-28,913,0,1,0,1
-77.1,-105,998,0,0,0,0
-77.2,-67,708,0,1,0,1
-77.4,-1000,399,0,1,0,1
-7.7,-87,1000,0,0,0,0
-78.4,128,1000,0,1,0,0
-7,-89,1000,0,0,0,0
-78.9,-1000,1000,0,0,0,0
-79.2,137,1000,0,0,0,0
-79.6,-1000,1000,0,0,0,0
-81.6,-92,1000,0,0,0,0
-82.2,-1000,1000,0,0,0,0
-82.7,2,1000,0,0,0,0
-82.9,234,1000,0,1,0,1
-8.3,-43,1000,0,1,0,1
-8.4,-18,1000,0,1,0,1
-8.4,-90,1000,0,0,0,0
-85.8,121,1000,0,1,0,1
-85.8,252,1000,0,0,0,0
-8.62,-19,821,-174,1,10,0
-86.9,162,113,0,1,0,1
-8.6,-99,0,-2314,1,0,0
-8.7,-25,1000,0,1,0,1
-87.3,-105,1000,0,0,0,0
-8.8,-31,1000,0,1,0,1
-88.3,99,1000,0,0,0,1
-88.5,261,1000,0,1,0,1
-88.9,167,1000,0,1,0,1
-8.9,-102,1000,0,0,0,0
-8,-91,468,-1927,1,4434,0
-8.9,15,826,0,0,0,0
-8.9,77,250,0,1,0,1
-90.6,213,1000,0,1,0,1
-9,12,1000,0,0,0,0
-9.1,80,0,0,0,0,0
-9.2,7,1000,0,1,0,1
-9,-28,343,0,0,0,0
-94,-95,407,0,1,0,1
-9.5,20,119,0,1,0,1
-9.7,-101,382,0,1,0,1
-9.7,-105,687,0,1,0,1
-9.7,-92,1000,0,0,0,0
-9.8,-100,1000,0,1,0,1
-9.8,29,499,0,1,0,1
-9.8,-91,1000,0,1,0,1
-99,-1000,9,0,1,0,1
-9.9,-41,1000,0,1,0,1
